userid,continent,gender,rating,hotel
1,2,1,4.0,39
1,2,1,3.0,44
2,3,1,4.5,63
2,3,1,2.0,2
3,1,0,4.0,26
3,1,0,5.0,37
3,1,0,4.5,63
3,1,0,4.0,4
3,1,0,4.0,51
3,1,0,4.5,52
3,1,0,4.0,7
3,1,0,4.0,35
4,2,1,4.5,63
4,2,1,4.5,52
5,2,0,3.5,12
5,2,0,4.0,17
5,2,0,4.0,60
5,2,0,3.0,59
6,2,1,5.0,37
6,2,1,3.0,58
6,2,1,2.0,2
6,2,1,4.0,46
6,2,1,3.0,24
6,2,1,4.0,56
7,2,0,4.0,49
7,2,0,3.0,59
7,2,0,4.0,18
8,5,1,2.5,53
8,5,1,4.0,60
8,5,1,4.0,66
9,1,1,4.0,50
9,1,1,4.5,43
10,2,1,3.0,59
10,2,1,4.0,7
11,1,1,4.0,28
11,1,1,4.0,4
12,2,1,3.0,59
12,2,1,3.0,55
13,1,1,4.0,60
13,1,1,4.0,4
13,1,1,4.0,56
14,2,1,4.0,60
14,2,1,4.0,49
14,2,1,4.0,41
14,2,1,4.0,46
15,1,1,4.0,56
15,1,1,4.0,60
16,2,0,4.0,39
16,2,0,4.0,56
17,2,0,4.0,6
17,2,0,4.0,56
17,2,0,2.5,8
17,2,0,3.5,47
17,2,0,4.0,18
17,2,0,3.0,24
17,2,0,2.5,11
17,2,0,3.0,61
17,2,0,3.5,30
17,2,0,3.0,23
18,2,1,3.0,1
18,2,1,5.0,38
18,2,1,3.0,59
18,2,1,4.0,26
18,2,1,4.0,49
18,2,1,4.0,41
19,2,1,4.0,56
19,2,1,4.0,17
20,2,0,3.0,59
20,2,0,4.0,60
20,2,0,3.5,15
20,2,0,4.0,56
21,2,0,4.5,63
21,2,0,5.0,37
21,2,0,4.0,17
21,2,0,4.0,56
22,2,0,4.0,7
22,2,0,4.5,34
22,2,0,4.0,62
22,2,0,4.0,50
23,2,1,3.5,15
23,2,1,4.0,60
24,2,0,4.0,18
24,2,0,4.0,39
25,2,1,3.5,57
25,2,1,4.0,5
26,2,1,4.0,17
26,2,1,4.0,56
26,2,1,4.0,66
27,1,1,4.0,39
27,1,1,4.5,40
27,1,1,5.0,37
27,1,1,4.0,46
28,4,1,4.0,66
28,4,1,4.0,50
28,4,1,4.0,17
28,4,1,3.0,55
28,4,1,4.0,60
29,1,1,4.0,26
29,1,1,4.0,60
30,3,1,3.0,10
30,3,1,4.0,18
31,2,0,2.5,53
31,2,0,4.0,60
32,2,0,3.5,47
32,2,0,4.0,18
32,2,0,3.0,24
32,2,0,3.0,55
32,2,0,4.0,39
32,2,0,3.5,45
33,7,1,4.0,19
33,7,1,2.0,2
34,2,0,5.0,37
34,2,0,4.0,60
34,2,0,4.0,26
35,2,1,4.5,52
35,2,1,5.0,64
35,2,1,5.0,38
35,2,1,4.0,66
35,2,1,3.5,13
35,2,1,4.0,41
35,2,1,4.5,63
36,2,0,2.0,2
36,2,0,3.5,45
37,4,1,2.0,20
37,4,1,4.0,18
38,5,0,4.0,60
38,5,0,4.0,41
39,2,1,3.5,3
39,2,1,4.0,39
40,1,0,2.5,29
40,1,0,3.0,24
41,2,1,3.0,59
41,2,1,5.0,64
41,2,1,4.0,56
42,5,1,4.0,56
42,5,1,4.0,41
42,5,1,3.0,23
42,5,1,3.0,59
42,5,1,4.5,40
42,5,1,4.0,17
42,5,1,4.5,43
42,5,1,3.0,55
42,5,1,5.0,38
42,5,1,5.0,37
42,5,1,3.5,3
42,5,1,4.0,26
42,5,1,4.5,16
42,5,1,4.0,60
42,5,1,3.5,15
42,5,1,4.0,50
43,2,0,2.5,29
43,2,0,3.0,10
44,2,0,2.5,53
44,2,0,3.5,47
44,2,0,3.5,13
44,2,0,2.0,21
44,2,0,3.0,10
45,1,0,5.0,37
45,1,0,4.0,60
46,2,1,3.5,45
46,2,1,4.5,52
46,2,1,3.0,25
47,1,0,4.0,60
47,1,0,4.5,43
47,1,0,3.0,23
47,1,0,2.5,53
48,2,0,3.5,14
48,2,0,2.5,53
48,2,0,2.0,36
48,2,0,2.0,2
48,2,0,4.0,6
