userid,hotel
1.0,56
2.0,43
3.0,56
4.0,43
5.0,13
6.0,38
7.0,56
8.0,53
9.0,56
10.0,55
11.0,56
12.0,59
13.0,17
14.0,56
15.0,17
16.0,17
17.0,17
18.0,59
19.0,60
20.0,55
21.0,43
22.0,56
23.0,13
24.0,56
25.0,13
26.0,17
27.0,56
28.0,56
29.0,56
30.0,59
31.0,53
32.0,13
33.0,56
34.0,37
35.0,43
36.0,2
37.0,2
38.0,56
39.0,13
40.0,53
41.0,59
42.0,39
43.0,53
44.0,11
45.0,37
46.0,13
47.0,56
48.0,13
49.0,13
50.0,59
51.0,38
52.0,53
53.0,39
54.0,53
55.0,2
56.0,56
57.0,38
58.0,59
59.0,56
60.0,38
61.0,17
62.0,2
63.0,17
64.0,59
65.0,63
66.0,53
67.0,13
68.0,63
69.0,17
70.0,17
71.0,63
72.0,56
73.0,56
74.0,63
75.0,45
76.0,17
77.0,55
78.0,3
79.0,13
80.0,56
81.0,59
82.0,3
83.0,38
84.0,56
85.0,11
86.0,56
87.0,59
88.0,17
89.0,3
90.0,38
91.0,38
92.0,63
93.0,56
94.0,59
95.0,38
96.0,38
97.0,11
98.0,2
99.0,56
100.0,56
101.0,20
102.0,56
103.0,59
104.0,13
105.0,56
106.0,13
107.0,56
108.0,43
109.0,56
110.0,56
111.0,56
112.0,43
113.0,56
114.0,59
115.0,56
116.0,56
117.0,3
118.0,13
119.0,13
120.0,56
121.0,55
122.0,63
123.0,56
124.0,56
125.0,3
126.0,53
127.0,13
128.0,59
129.0,56
130.0,59
131.0,59
132.0,11
133.0,20
134.0,60
135.0,56
136.0,53
137.0,56
138.0,13
139.0,56
140.0,17
141.0,37
142.0,59
143.0,13
144.0,56
145.0,56
146.0,56
147.0,2
148.0,56
149.0,63
150.0,55
151.0,17
152.0,17
153.0,39
154.0,55
155.0,56
156.0,37
157.0,56
158.0,56
159.0,13
160.0,13
161.0,56
162.0,13
163.0,63
164.0,13
165.0,59
166.0,13
167.0,53
168.0,60
169.0,63
170.0,3
171.0,56
172.0,11
173.0,59
174.0,53
175.0,37
176.0,17
177.0,56
178.0,53
179.0,11
180.0,56
181.0,59
182.0,43
183.0,56
184.0,17
185.0,59
186.0,13
187.0,17
188.0,59
189.0,20
190.0,56
191.0,56
192.0,53
193.0,3
194.0,2
195.0,63
196.0,56
197.0,43
198.0,56
199.0,56
200.0,59
201.0,43
202.0,52
203.0,17
204.0,39
205.0,56
206.0,56
207.0,43
208.0,56
209.0,56
210.0,60
211.0,56
212.0,17
213.0,56
214.0,56
215.0,17
216.0,37
217.0,3
218.0,53
219.0,13
220.0,43
221.0,63
222.0,38
223.0,13
224.0,38
225.0,56
226.0,38
227.0,2
228.0,59
229.0,37
230.0,17
231.0,17
232.0,17
233.0,59
234.0,63
235.0,13
236.0,56
237.0,56
238.0,53
239.0,17
240.0,56
241.0,38
242.0,2
243.0,56
244.0,13
245.0,13
246.0,59
247.0,56
248.0,17
249.0,56
250.0,13
251.0,59
252.0,63
253.0,17
254.0,56
255.0,37
256.0,56
257.0,17
258.0,56
259.0,17
260.0,38
261.0,63
262.0,59
263.0,38
264.0,13
265.0,63
266.0,60
267.0,13
268.0,59
269.0,56
270.0,2
271.0,56
272.0,59
273.0,17
274.0,60
275.0,17
276.0,56
277.0,56
278.0,56
279.0,56
280.0,56
281.0,24
282.0,63
283.0,13
284.0,43
285.0,56
286.0,17
287.0,20
288.0,13
289.0,59
290.0,56
291.0,63
292.0,56
293.0,63
294.0,39
295.0,17
296.0,56
297.0,59
298.0,37
299.0,13
300.0,60
301.0,53
302.0,56
303.0,13
304.0,13
305.0,53
306.0,60
307.0,59
308.0,17
309.0,13
310.0,17
311.0,3
312.0,43
313.0,56
314.0,20
315.0,38
316.0,56
317.0,11
318.0,53
319.0,56
320.0,56
321.0,56
322.0,53
323.0,11
324.0,56
325.0,56
326.0,38
327.0,20
328.0,60
329.0,13
330.0,56
331.0,63
332.0,13
333.0,3
334.0,56
335.0,56
336.0,56
337.0,56
338.0,56
339.0,17
340.0,11
341.0,53
342.0,59
343.0,17
344.0,37
345.0,56
346.0,53
347.0,60
348.0,55
349.0,37
350.0,56
351.0,45
352.0,17
353.0,63
354.0,11
355.0,13
356.0,59
357.0,17
358.0,56
359.0,17
360.0,60
361.0,56
362.0,53
363.0,56
364.0,56
365.0,17
366.0,17
367.0,17
368.0,2
369.0,20
370.0,56
371.0,59
372.0,60
373.0,13
374.0,56
375.0,13
376.0,59
377.0,56
378.0,56
379.0,56
380.0,13
381.0,59
382.0,15
383.0,56
384.0,17
385.0,56
386.0,56
387.0,56
388.0,11
389.0,38
390.0,39
391.0,2
392.0,56
393.0,56
394.0,59
395.0,17
396.0,59
397.0,20
398.0,59
399.0,3
400.0,3
401.0,13
402.0,3
403.0,60
404.0,60
405.0,53
406.0,37
407.0,56
408.0,59
409.0,63
410.0,17
411.0,13
412.0,38
413.0,20
414.0,56
415.0,60
416.0,60
417.0,15
418.0,13
419.0,56
420.0,59
421.0,63
422.0,56
423.0,63
424.0,56
425.0,56
426.0,38
427.0,56
428.0,37
429.0,60
430.0,39
431.0,56
432.0,17
433.0,17
434.0,13
435.0,38
436.0,2
437.0,2
438.0,59
439.0,17
440.0,37
441.0,56
442.0,13
443.0,39
444.0,60
445.0,56
446.0,60
447.0,39
448.0,17
449.0,37
450.0,13
451.0,15
452.0,56
453.0,13
454.0,60
455.0,59
456.0,59
457.0,56
458.0,56
459.0,6
460.0,37
461.0,10
462.0,60
463.0,17
464.0,13
465.0,56
466.0,56
467.0,56
468.0,59
469.0,13
470.0,17
471.0,13
472.0,56
473.0,3
474.0,56
475.0,53
476.0,56
477.0,53
478.0,17
479.0,56
480.0,59
481.0,56
482.0,56
483.0,59
484.0,56
485.0,60
486.0,56
487.0,59
488.0,56
489.0,13
490.0,13
491.0,43
492.0,63
493.0,37
494.0,38
495.0,63
496.0,43
497.0,56
498.0,13
499.0,56
500.0,3
501.0,59
502.0,63
503.0,13
504.0,11
505.0,59
506.0,17
507.0,54
508.0,59
509.0,59
510.0,13
511.0,13
512.0,56
513.0,56
514.0,17
515.0,56
516.0,59
517.0,56
518.0,37
519.0,17
520.0,56
521.0,17
522.0,56
523.0,39
524.0,59
525.0,37
526.0,17
527.0,43
528.0,56
529.0,63
530.0,13
531.0,56
532.0,56
533.0,13
534.0,13
535.0,56
536.0,59
537.0,56
538.0,13
539.0,38
540.0,56
541.0,11
542.0,56
543.0,2
544.0,59
545.0,56
546.0,56
547.0,59
548.0,56
549.0,2
550.0,59
551.0,56
552.0,17
553.0,39
554.0,53
555.0,17
556.0,53
557.0,63
558.0,63
559.0,17
560.0,56
561.0,59
562.0,53
563.0,59
564.0,56
565.0,13
566.0,55
567.0,56
568.0,56
569.0,17
570.0,56
571.0,56
572.0,59
573.0,38
574.0,56
575.0,3
576.0,56
577.0,59
578.0,56
579.0,17
580.0,63
581.0,20
582.0,56
583.0,56
584.0,13
585.0,13
586.0,59
587.0,56
588.0,59
589.0,39
590.0,56
591.0,2
592.0,13
593.0,59
594.0,17
595.0,39
596.0,38
597.0,56
598.0,59
599.0,53
600.0,56
601.0,56
602.0,56
603.0,59
604.0,45
605.0,63
606.0,59
607.0,2
608.0,17
609.0,59
610.0,63
611.0,13
612.0,53
613.0,38
614.0,17
615.0,63
616.0,3
617.0,56
618.0,17
619.0,13
620.0,43
621.0,39
622.0,63
623.0,17
624.0,63
625.0,3
626.0,56
627.0,3
628.0,43
629.0,13
630.0,53
631.0,63
632.0,13
633.0,24
634.0,56
635.0,13
636.0,60
637.0,13
638.0,43
639.0,17
640.0,37
641.0,53
642.0,56
643.0,20
644.0,38
645.0,17
646.0,59
647.0,17
648.0,13
649.0,13
650.0,63
651.0,63
652.0,63
653.0,39
654.0,59
655.0,13
656.0,56
657.0,59
658.0,17
659.0,59
660.0,56
661.0,13
662.0,13
663.0,17
664.0,56
665.0,54
666.0,59
667.0,37
668.0,37
669.0,13
670.0,59
671.0,2
672.0,56
673.0,63
674.0,53
675.0,38
676.0,56
677.0,38
678.0,2
679.0,13
680.0,43
681.0,63
682.0,56
683.0,53
684.0,56
685.0,59
686.0,3
687.0,59
688.0,13
689.0,38
690.0,55
691.0,55
692.0,59
693.0,2
694.0,39
695.0,2
696.0,56
697.0,37
698.0,56
699.0,2
700.0,56
701.0,39
702.0,56
703.0,38
704.0,59
705.0,37
706.0,3
707.0,3
708.0,17
709.0,56
710.0,56
711.0,13
712.0,59
713.0,13
714.0,3
715.0,59
716.0,56
717.0,24
718.0,39
719.0,20
720.0,56
721.0,2
722.0,59
723.0,20
724.0,2
725.0,20
726.0,56
727.0,17
728.0,56
729.0,37
730.0,56
731.0,56
732.0,13
733.0,56
734.0,56
735.0,13
736.0,56
737.0,13
738.0,56
739.0,20
740.0,56
741.0,13
742.0,17
743.0,59
744.0,63
745.0,59
746.0,13
747.0,17
748.0,63
749.0,56
750.0,4
751.0,17
752.0,59
753.0,56
754.0,53
755.0,17
756.0,2
757.0,37
758.0,59
759.0,56
760.0,59
761.0,59
762.0,56
763.0,56
764.0,13
765.0,53
766.0,17
767.0,13
768.0,56
769.0,56
770.0,17
771.0,56
772.0,56
773.0,39
774.0,59
775.0,60
776.0,56
777.0,43
778.0,56
779.0,11
780.0,13
781.0,17
782.0,60
783.0,3
784.0,11
785.0,17
786.0,17
787.0,13
788.0,17
789.0,13
790.0,17
791.0,56
792.0,63
793.0,56
794.0,17
795.0,13
796.0,2
797.0,59
798.0,17
799.0,56
800.0,3
801.0,56
802.0,56
803.0,20
804.0,56
805.0,38
806.0,37
807.0,56
808.0,63
809.0,59
810.0,63
811.0,56
812.0,59
813.0,56
814.0,56
815.0,17
816.0,17
817.0,37
818.0,59
819.0,60
820.0,59
821.0,17
822.0,2
823.0,56
824.0,56
825.0,17
826.0,56
827.0,3
828.0,43
829.0,56
830.0,56
831.0,60
832.0,56
833.0,13
834.0,17
835.0,3
836.0,56
837.0,17
838.0,53
839.0,56
840.0,56
841.0,55
842.0,56
843.0,39
844.0,56
845.0,38
846.0,59
847.0,38
848.0,60
849.0,56
850.0,17
851.0,17
852.0,13
853.0,59
854.0,56
855.0,63
856.0,38
857.0,43
858.0,63
859.0,59
860.0,15
861.0,39
862.0,59
863.0,13
864.0,17
865.0,13
866.0,20
867.0,59
868.0,56
869.0,59
870.0,56
871.0,37
872.0,56
873.0,56
874.0,56
875.0,63
876.0,17
877.0,13
878.0,63
879.0,39
880.0,53
881.0,59
882.0,56
883.0,17
884.0,63
885.0,37
886.0,56
887.0,56
888.0,3
889.0,13
890.0,56
891.0,56
892.0,17
893.0,53
894.0,37
895.0,56
896.0,56
897.0,3
898.0,13
899.0,56
900.0,37
901.0,17
902.0,2
903.0,59
904.0,63
905.0,55
906.0,53
907.0,56
908.0,43
909.0,56
910.0,56
911.0,59
912.0,10
913.0,59
914.0,59
915.0,8
916.0,2
917.0,60
918.0,37
919.0,17
920.0,56
921.0,56
922.0,56
923.0,56
924.0,13
925.0,63
926.0,56
927.0,17
928.0,56
929.0,13
930.0,59
931.0,59
932.0,59
933.0,17
934.0,11
935.0,37
936.0,56
937.0,56
938.0,56
939.0,53
940.0,56
941.0,37
942.0,53
943.0,56
944.0,53
945.0,63
946.0,56
947.0,8
948.0,60
949.0,56
950.0,11
951.0,56
952.0,55
953.0,38
954.0,56
955.0,17
956.0,56
957.0,2
958.0,56
959.0,59
960.0,56
